name;description;phone;email;address;city;state;country
Barbería Clásica Carlos;Cortes tradicionales y modernos para caballeros;+52 33 2345 6789;contacto@barberiacarlos.example.com;Calle Juárez 456;Guadalajara;Jalisco;México
Clínica Dental Luis;Servicios odontológicos completos;+52 55 4567 8901;info@clinicaluis.example.com;Insurgentes Sur 321;Ciudad de México;CDMX;México
Consultorio Médico Ana;Consulta médica general y especializada;+52 81 3456 7890;citas@consultorioana.example.com;Blvd. Constitución 789;Monterrey;Nuevo León;México
Estética Sofía Beauty;Tratamientos faciales y corporales;+52 33 5678 9012;hola@sofiabeauty.example.com;Av. Chapultepec 654;Guadalajara;Jalisco;México
Estudio Fotográfico Fernando;Fotografía profesional y eventos;+52 55 0123 4567;info@estudiofernando.example.com;Roma Norte 741;Ciudad de México;CDMX;México
Gimnasio Valeria Fit;Entrenamiento personalizado y clases grupales;+52 55 7890 1234;info@valeriafit.example.com;Polanco 147;Ciudad de México;CDMX;México
Salón Camila Style;Peinados y tratamientos capilares;+52 81 9012 3456;contacto@camilastyle.example.com;Centro 369;Monterrey;Nuevo León;México
Spa Relax María;Centro de relajación y belleza con servicios integrales;+52 55 1234 5678;info@sparelax.example.com;Av. Reforma 123;Ciudad de México;CDMX;México
Taller Mecánico Ricardo;Reparación y mantenimiento automotriz;+52 33 8901 2345;servicio@tallerricardo.example.com;Industrial 258;Guadalajara;Jalisco;México
Veterinaria Diego;Cuidado integral para mascotas;+52 81 6789 0123;citas@vetdiego.example.com;Av. Universidad 987;Monterrey;Nuevo León;México
